,vid_id,ad_view
401,VID_6285,5
402,VID_287,51
403,VID_5371,9
404,VID_10704,0
405,VID_20810,0
406,VID_7972,0
407,VID_10923,6
408,VID_11876,4
409,VID_15477,11
410,VID_12366,8
411,VID_6538,2
412,VID_10092,0
413,VID_6826,20
414,VID_22526,10
415,VID_10897,6
416,VID_3400,6
417,VID_9995,5
418,VID_19337,15
419,VID_9673,815
420,VID_12280,38
421,VID_14038,9
422,VID_11157,16
423,VID_13406,12
424,VID_7774,35
425,VID_7386,6
426,VID_2419,11
427,VID_6334,73
428,VID_1778,7
429,VID_4907,17
430,VID_7122,0
431,VID_10445,5
432,VID_18113,15
433,VID_6716,115
434,VID_5803,11
435,VID_6459,5
436,VID_14427,0
437,VID_3872,24
438,VID_6774,0
439,VID_11609,44
440,VID_21821,13
441,VID_14317,0
442,VID_4982,0
443,VID_5798,3
444,VID_4365,18
445,VID_6535,4
446,VID_7237,38
447,VID_10388,4
448,VID_17934,2
449,VID_838,0
450,VID_5439,74
451,VID_11455,24
452,VID_7473,8
453,VID_16677,455
454,VID_18433,7
455,VID_10243,46
456,VID_23592,11
457,VID_19401,36
458,VID_2547,9
459,VID_4525,0
460,VID_13804,8
461,VID_22266,0
462,VID_7560,21
463,VID_10381,5
464,VID_4977,10
465,VID_14081,70
466,VID_19054,1
467,VID_2608,14
468,VID_8639,11
469,VID_4407,3
470,VID_9462,886
471,VID_10687,106548
472,VID_15274,4
473,VID_22631,6
474,VID_3777,16
475,VID_10585,13
476,VID_10941,15
477,VID_525,13
478,VID_17097,205
479,VID_13836,5
480,VID_12202,6
481,VID_20868,10
482,VID_17084,0
483,VID_7322,47
484,VID_17922,0
485,VID_5486,15
486,VID_15289,0
487,VID_7993,14
488,VID_14078,8
489,VID_21530,7
490,VID_11469,5
491,VID_20959,0
492,VID_18159,6
493,VID_19624,78
494,VID_19029,54
495,VID_3489,28
496,VID_15983,16
497,VID_23605,10
498,VID_23757,9
499,VID_7488,6
500,VID_15445,3
501,VID_4538,0
502,VID_22661,48
503,VID_5912,0
504,VID_3324,6
505,VID_21241,16
506,VID_18194,9
507,VID_8640,0
508,VID_10657,168857
509,VID_3622,0
510,VID_14909,53
511,VID_5961,0
512,VID_117,12
513,VID_4690,9
514,VID_10717,12
515,VID_20280,2
516,VID_6395,15
517,VID_9199,9
518,VID_6343,19
519,VID_7459,10
520,VID_18041,11
521,VID_12175,15
522,VID_8174,3
523,VID_15644,0
524,VID_3021,22
525,VID_251,2
526,VID_20609,24
527,VID_2033,6
528,VID_20357,11
529,VID_16428,94
530,VID_12297,15
531,VID_1214,11
532,VID_19907,6
533,VID_4697,0
534,VID_22474,156
535,VID_4002,1
536,VID_17351,0
537,VID_937,5
538,VID_17501,14
539,VID_2312,4
540,VID_22996,47
541,VID_14413,29
542,VID_7938,0
543,VID_616,7
544,VID_22499,9
545,VID_21393,13
546,VID_23320,51
547,VID_22780,22
548,VID_10862,1017
549,VID_21132,27
550,VID_1416,9
551,VID_624,12
552,VID_10127,35
553,VID_15874,0
554,VID_6946,6
555,VID_8674,16
556,VID_22878,0
557,VID_560,7
558,VID_9765,666
559,VID_22398,17
560,VID_20560,10
561,VID_4068,1
562,VID_938,4
563,VID_19068,9
564,VID_8889,13
565,VID_23347,5
566,VID_16952,5
567,VID_6032,17
568,VID_5116,0
569,VID_4210,9
570,VID_22022,12
571,VID_16770,1116
572,VID_18981,331
573,VID_1668,0
574,VID_23726,16
575,VID_18550,40
576,VID_5518,2
577,VID_12958,66
578,VID_16501,0
579,VID_21485,23
580,VID_14475,2
581,VID_3865,0
582,VID_21642,10
583,VID_22934,6
584,VID_14667,0
585,VID_5519,14
586,VID_17889,0
587,VID_17728,15
588,VID_8727,10
589,VID_14785,0
590,VID_16387,7
591,VID_10703,139
592,VID_7213,9
593,VID_14454,28
594,VID_13455,13
595,VID_5467,26
596,VID_21139,30
597,VID_9033,10
598,VID_3863,16
599,VID_13990,0
600,VID_2641,0
601,VID_15745,0
602,VID_5929,34
603,VID_769,9
604,VID_5499,0
605,VID_8609,53
606,VID_3903,21
607,VID_19579,12
608,VID_10506,5
609,VID_23577,0
610,VID_9042,30
611,VID_10606,3
612,VID_14849,11
613,VID_10497,6
614,VID_21208,17
615,VID_12837,0
616,VID_7924,0
617,VID_21109,0
618,VID_6848,2
619,VID_8993,13
620,VID_10584,64
621,VID_19794,12
622,VID_15209,42
623,VID_6195,0
624,VID_22498,35
625,VID_9814,41
626,VID_18155,33
627,VID_20573,9
628,VID_4092,4
629,VID_15455,6
630,VID_8989,9
631,VID_1852,0
632,VID_17278,3
633,VID_12619,9
634,VID_22663,4
635,VID_15372,9
636,VID_13978,38
637,VID_17325,0
638,VID_19025,30
639,VID_21374,4
640,VID_10207,4
641,VID_11924,0
642,VID_8975,0
643,VID_8851,10
644,VID_12210,0
645,VID_8178,1
646,VID_19252,381
647,VID_5421,15
648,VID_6757,0
649,VID_8125,1
650,VID_14709,3
651,VID_5795,7
652,VID_21888,7
653,VID_14058,10
654,VID_8028,0
655,VID_22918,0
656,VID_11731,0
657,VID_22841,2
658,VID_7453,0
659,VID_11870,8
660,VID_20484,12
661,VID_1971,0
662,VID_599,8
663,VID_16812,16
664,VID_5401,0
665,VID_16289,0
666,VID_12150,18
667,VID_13299,0
668,VID_19015,0
669,VID_1604,9
670,VID_18013,1
671,VID_2240,8
672,VID_8114,26
673,VID_13586,28
674,VID_2784,3
675,VID_1539,26
676,VID_6787,9
677,VID_11544,8
678,VID_5296,615
679,VID_5684,2
680,VID_7467,3
681,VID_5869,8
682,VID_19596,7
683,VID_96,1156
684,VID_859,0
685,VID_13559,44
686,VID_20976,21
687,VID_18524,3
688,VID_3089,7
689,VID_4453,17
690,VID_15802,10
691,VID_18291,1032
692,VID_3914,9
693,VID_10582,0
694,VID_11482,13
695,VID_615,6
696,VID_19069,6
697,VID_911,0
698,VID_3308,11
699,VID_5668,12
700,VID_16402,33
701,VID_19375,22
702,VID_8556,185
703,VID_19966,2
704,VID_17274,0
705,VID_407,8
706,VID_23383,6
707,VID_6105,119
708,VID_2643,9
709,VID_18875,0
710,VID_13188,77
711,VID_13504,1
712,VID_17900,8
713,VID_6368,9
714,VID_19648,5
715,VID_23490,4
716,VID_9098,4
717,VID_12973,478
718,VID_15207,0
719,VID_17033,16
720,VID_21758,47
721,VID_21628,0
722,VID_3935,0
723,VID_5670,55
724,VID_13844,0
725,VID_20416,30
726,VID_19885,0
727,VID_15487,8
728,VID_9890,6
729,VID_17721,24
730,VID_2585,3
731,VID_19723,7
732,VID_22716,0
733,VID_10004,6
734,VID_1529,0
735,VID_8126,10
736,VID_4224,4
737,VID_22704,13
738,VID_10705,0
739,VID_10524,8
740,VID_1133,5
741,VID_3404,12
742,VID_20344,4
743,VID_9397,5
744,VID_20601,11
745,VID_9482,0
746,VID_6673,0
747,VID_3899,3
748,VID_7008,2
749,VID_2690,0
750,VID_7483,0
751,VID_1614,17
752,VID_241,7
753,VID_13499,82
754,VID_11734,5
755,VID_18937,0
756,VID_11906,22
757,VID_11525,10
758,VID_4199,0
759,VID_19984,0
760,VID_15743,0
761,VID_16716,3
762,VID_6805,0
763,VID_6552,0
764,VID_269,8
765,VID_10761,0
766,VID_10352,166
767,VID_10226,104
768,VID_23493,3
769,VID_734,11
770,VID_5364,8
771,VID_5122,2
772,VID_2104,2
773,VID_5143,3
774,VID_3850,13
775,VID_23633,10
776,VID_19158,36
777,VID_23597,7
778,VID_5716,56
779,VID_23516,17
780,VID_12921,40
781,VID_17949,4
782,VID_8164,12
783,VID_2097,4
784,VID_10400,4
785,VID_998,2
786,VID_11447,21
787,VID_7866,5
788,VID_11664,6
789,VID_7094,9
790,VID_19536,8
791,VID_6307,15
792,VID_6363,2
793,VID_1524,6
794,VID_20772,19
795,VID_23466,1
796,VID_10752,0
797,VID_4918,29
798,VID_23046,36
799,VID_6694,0
800,VID_4646,9
801,VID_17016,8
802,VID_11145,0
803,VID_12387,128
804,VID_22126,17
805,VID_17930,8
806,VID_12268,5
807,VID_5192,6495
808,VID_16369,0
809,VID_11841,1
810,VID_13926,9
811,VID_5622,116
812,VID_5346,7
813,VID_10544,5
814,VID_6622,4
815,VID_17583,5
816,VID_13876,2
817,VID_1033,3
818,VID_10998,19
819,VID_7037,14
820,VID_22495,13
821,VID_13170,665
822,VID_7480,1
823,VID_13753,2009
824,VID_13831,16
825,VID_17763,10
826,VID_2793,0
827,VID_20514,39
828,VID_22850,19
829,VID_3953,9
830,VID_13670,67
831,VID_12368,23
832,VID_19664,5
833,VID_4173,22
834,VID_15859,30
835,VID_14717,39
836,VID_18425,12
837,VID_5232,0
838,VID_6288,17
839,VID_7433,0
840,VID_1003,7
841,VID_13060,13
842,VID_15297,0
843,VID_9730,0
844,VID_19022,0
845,VID_1885,56
846,VID_7425,0
847,VID_20867,41
848,VID_19822,9
849,VID_10604,8
850,VID_18763,26
851,VID_1818,9
852,VID_16644,4
853,VID_7528,0
854,VID_8166,5
855,VID_22357,46
856,VID_3918,27
857,VID_10589,111
858,VID_3027,5
859,VID_23607,4
860,VID_9153,14
861,VID_291,0
862,VID_8213,6
863,VID_9424,2
864,VID_19769,24
865,VID_22910,6
866,VID_14626,6
867,VID_5125,2
868,VID_16291,0
869,VID_14392,0
870,VID_1036,16
871,VID_14153,40
872,VID_13506,4
873,VID_6149,12
874,VID_2777,12
875,VID_19018,9
876,VID_8497,8
877,VID_21395,25
878,VID_7117,140
879,VID_21328,6
880,VID_7710,846
881,VID_17750,8
882,VID_1680,5
883,VID_4028,0
884,VID_20481,41
885,VID_8880,2
886,VID_21640,10
887,VID_13074,5
888,VID_8763,22
889,VID_3983,5
890,VID_432,24
891,VID_14174,46
892,VID_23704,3
893,VID_5492,26
894,VID_6329,14
895,VID_3504,18
896,VID_5758,18677
897,VID_4794,2
898,VID_20788,4
899,VID_5213,380
900,VID_6785,5
901,VID_11456,6
902,VID_22729,8
903,VID_9741,269
904,VID_16684,0
905,VID_11853,0
906,VID_3598,6
907,VID_6772,0
908,VID_2469,0
909,VID_2206,29
910,VID_6843,3
911,VID_10634,3
912,VID_8040,3087
913,VID_12369,85
914,VID_2693,7
915,VID_11067,4
916,VID_11520,11
917,VID_2821,9
918,VID_3038,100
919,VID_11250,1798
920,VID_22710,0
921,VID_11733,0
922,VID_7363,27
923,VID_23723,0
924,VID_11688,4
925,VID_6034,14
926,VID_22123,9
927,VID_20388,0
928,VID_6503,0
929,VID_15018,6
930,VID_22601,0
931,VID_3210,11
932,VID_11450,8
933,VID_1040,25
934,VID_13938,10
935,VID_20462,6
936,VID_22043,2153
937,VID_13502,16
938,VID_13855,17
939,VID_1368,2
940,VID_9381,22
941,VID_12394,2
942,VID_19290,183
943,VID_5050,4
944,VID_23326,7
945,VID_5262,2
946,VID_13259,22
947,VID_13056,0
948,VID_17553,17
949,VID_5220,0
950,VID_16497,0
951,VID_17882,6
952,VID_14613,15
953,VID_600,6
954,VID_19476,0
955,VID_814,20
956,VID_21709,887
957,VID_23117,40
958,VID_22461,27
959,VID_5566,14
960,VID_3407,6
961,VID_5958,0
962,VID_15941,5
963,VID_11741,9
964,VID_70,12
965,VID_20781,70
966,VID_11832,3
967,VID_1723,37
968,VID_6240,15
969,VID_8963,4
970,VID_14121,4
971,VID_7960,54
972,VID_14523,47
973,VID_20941,0
974,VID_23728,34
975,VID_17575,23
976,VID_13353,5
977,VID_18877,0
978,VID_19283,47
979,VID_19494,4
980,VID_12311,13
981,VID_21019,181
982,VID_23343,15
983,VID_16495,55
984,VID_2932,15
985,VID_21207,4
986,VID_12004,32
987,VID_11129,6
988,VID_15892,0
989,VID_5645,18
990,VID_8615,32194
991,VID_20982,43
992,VID_12201,5
993,VID_20427,11
994,VID_17217,13
995,VID_1642,14
996,VID_11516,6
997,VID_23022,0
998,VID_7142,0
999,VID_9909,287
1000,VID_9529,0
1001,VID_22664,9
1002,VID_435,625
1003,VID_15960,3
1004,VID_12952,749
1005,VID_21100,19
1006,VID_10906,6
1007,VID_2945,18
1008,VID_10393,5
1009,VID_11026,8
1010,VID_13865,6
1011,VID_13079,39
1012,VID_20285,10
1013,VID_22600,9
1014,VID_15248,3
1015,VID_12096,5
1016,VID_12609,7
1017,VID_21464,30
1018,VID_2568,0
1019,VID_18864,10
1020,VID_3347,6
1021,VID_15238,9
1022,VID_17746,17
1023,VID_20055,14
1024,VID_7138,8
1025,VID_5665,0
1026,VID_8130,2
1027,VID_14441,0
1028,VID_8693,14
1029,VID_12944,2104
1030,VID_3446,23
1031,VID_2862,5
1032,VID_5671,22
1033,VID_8484,0
1034,VID_5596,36
1035,VID_15925,10
1036,VID_18290,0
1037,VID_4102,3
1038,VID_18762,13
1039,VID_49,7
1040,VID_19899,0
1041,VID_6311,15
1042,VID_9972,6
1043,VID_12965,1602
1044,VID_12420,478
1045,VID_7547,80
1046,VID_21893,0
1047,VID_21819,10
1048,VID_20945,0
1049,VID_3359,6
1050,VID_1671,2
1051,VID_7479,9
1052,VID_12766,1
1053,VID_8145,9
1054,VID_21627,0
1055,VID_472,0
1056,VID_16667,19
1057,VID_20187,6
1058,VID_18033,1
1059,VID_1061,23
1060,VID_3719,2
1061,VID_14470,8
1062,VID_430,32
1063,VID_22153,6
1064,VID_19285,2727
1065,VID_8843,27
1066,VID_11084,9
1067,VID_1246,14
1068,VID_22180,7
1069,VID_3111,18
1070,VID_7313,0
1071,VID_23081,3
1072,VID_10020,15
1073,VID_5656,10
1074,VID_15080,0
1075,VID_18949,0
1076,VID_10056,8
1077,VID_17696,0
1078,VID_23304,9
1079,VID_22199,6
1080,VID_4851,2
1081,VID_3917,18
1082,VID_6859,14
1083,VID_21622,4
1084,VID_20987,21
1085,VID_20279,2
1086,VID_12069,21
1087,VID_3742,0
1088,VID_5130,5
1089,VID_3029,5
1090,VID_23673,6
1091,VID_9586,37
1092,VID_11637,551
1093,VID_15344,6
1094,VID_12885,17
1095,VID_4096,8
1096,VID_4138,7
1097,VID_12864,20
1098,VID_5340,9
1099,VID_11542,77
1100,VID_18608,12
1101,VID_15189,0
1102,VID_22317,17
1103,VID_22385,8
1104,VID_10936,43
1105,VID_11519,5
1106,VID_12576,7
1107,VID_20918,8
1108,VID_17112,0
1109,VID_2396,18
1110,VID_3125,6
1111,VID_9058,2
1112,VID_5939,31
1113,VID_7593,2
1114,VID_4754,4
1115,VID_2974,8
1116,VID_3590,25
1117,VID_3600,47
1118,VID_8459,12986
1119,VID_4543,1803
1120,VID_12434,1
1121,VID_12167,11
1122,VID_1322,32
1123,VID_19409,5
1124,VID_10523,0
1125,VID_4457,6
1126,VID_19478,0
1127,VID_20828,13
1128,VID_10775,0
1129,VID_12091,4
1130,VID_14378,7
1131,VID_1418,4
1132,VID_12458,0
1133,VID_15357,2
1134,VID_3555,0
1135,VID_19662,8
1136,VID_19125,10
1137,VID_17044,8
1138,VID_14112,15
1139,VID_22607,0
1140,VID_9508,8
1141,VID_18141,9
1142,VID_13392,4
1143,VID_6306,8
1144,VID_16298,0
1145,VID_5832,6
1146,VID_20852,5
1147,VID_2052,10
1148,VID_11283,76
1149,VID_20392,1290
1150,VID_22108,8
1151,VID_3064,0
1152,VID_4482,14
1153,VID_11672,2
1154,VID_3301,1
1155,VID_20106,0
1156,VID_16205,0
1157,VID_9532,0
1158,VID_11294,2
1159,VID_12690,11
1160,VID_21059,65
1161,VID_2388,15
1162,VID_17405,33
1163,VID_3099,1
1164,VID_20770,27
1165,VID_17262,13
1166,VID_4476,0
1167,VID_1163,4
1168,VID_22777,0
1169,VID_21090,113
1170,VID_6598,5
1171,VID_5743,37
1172,VID_21253,26
1173,VID_20611,53
1174,VID_1089,1
1175,VID_4371,10
1176,VID_17003,6
1177,VID_18424,5
1178,VID_1222,9
1179,VID_6479,10
1180,VID_13563,8
1181,VID_12946,63
1182,VID_8437,0
1183,VID_21515,5
1184,VID_14775,3
1185,VID_17802,17
1186,VID_8274,3
1187,VID_23680,7
1188,VID_6005,0
1189,VID_23105,15
1190,VID_9956,190
1191,VID_6750,0
1192,VID_16401,7
1193,VID_23075,27
1194,VID_14863,20
1195,VID_19341,8
1196,VID_19522,0
1197,VID_7749,901
1198,VID_17107,11
1199,VID_12774,7
1200,VID_8974,13
1201,VID_11208,16
1202,VID_6781,5
1203,VID_2411,2
1204,VID_8384,0
1205,VID_21496,5
1206,VID_18389,490
1207,VID_18660,6
1208,VID_1547,10
1209,VID_1065,5
1210,VID_11746,56
1211,VID_7133,7
1212,VID_17890,12
1213,VID_12710,16
1214,VID_4806,10
1215,VID_1976,34878
1216,VID_13114,5
1217,VID_19933,2
1218,VID_8961,4
1219,VID_4436,7
1220,VID_11471,15
1221,VID_6393,11
1222,VID_8690,0
1223,VID_1266,12
1224,VID_10199,1
1225,VID_16287,0
1226,VID_11285,2
1227,VID_22078,1610
1228,VID_22632,9
1229,VID_17811,22
1230,VID_308,2
1231,VID_8559,34
1232,VID_13391,22
1233,VID_23733,0
1234,VID_12814,0
1235,VID_7783,36
1236,VID_11619,20
1237,VID_4950,126
1238,VID_17844,2494
1239,VID_15758,21
1240,VID_20079,3
1241,VID_10069,0
1242,VID_15577,1
1243,VID_9911,0
1244,VID_17668,0
1245,VID_22412,39
1246,VID_20668,21
1247,VID_5469,6
1248,VID_3477,10
1249,VID_15324,0
1250,VID_11267,0
1251,VID_8597,10
1252,VID_14548,11
1253,VID_1194,6
1254,VID_5600,39
1255,VID_714,13
1256,VID_15462,8
1257,VID_17243,13
1258,VID_12784,10
1259,VID_4755,6
1260,VID_12103,20
1261,VID_5452,18
1262,VID_1077,5
1263,VID_23047,11
1264,VID_2692,3
1265,VID_20623,4
1266,VID_19418,10
1267,VID_22232,11
1268,VID_6574,10
1269,VID_7327,7
1270,VID_13579,20
1271,VID_14575,28
1272,VID_5813,6
1273,VID_15008,5
1274,VID_575,18
1275,VID_1973,16
1276,VID_6371,6
1277,VID_14854,27
1278,VID_14833,487
1279,VID_21299,7
1280,VID_16915,101
1281,VID_6309,27
1282,VID_10230,7
1283,VID_17533,31
1284,VID_13445,12
1285,VID_20091,3
1286,VID_14734,41
1287,VID_990,10
1288,VID_1433,4
1289,VID_17335,7
1290,VID_9492,178814
1291,VID_16368,52
1292,VID_21194,30
1293,VID_7536,6
1294,VID_11647,0
1295,VID_22540,5
1296,VID_12919,4
1297,VID_8573,673
1298,VID_332,9
1299,VID_23679,21
1300,VID_6675,0
1301,VID_6431,11
1302,VID_12138,8
1303,VID_14674,85
1304,VID_9043,16
1305,VID_1427,17
1306,VID_10326,2
1307,VID_6121,8
1308,VID_20413,13
1309,VID_19785,10
1310,VID_12681,0
1311,VID_20531,0
1312,VID_6356,9
1313,VID_3790,12
1314,VID_6591,6
1315,VID_1798,9
1316,VID_409,2
1317,VID_11941,432
1318,VID_22788,756
1319,VID_9094,11
1320,VID_7071,0
1321,VID_3436,22
1322,VID_20475,470
1323,VID_22614,17
1324,VID_15108,0
1325,VID_7007,4
1326,VID_18260,14
1327,VID_10317,6
1328,VID_21914,10
1329,VID_8034,51
1330,VID_9624,7
1331,VID_9860,87
1332,VID_609,12
1333,VID_9013,45
1334,VID_15684,0
1335,VID_23124,5
1336,VID_7717,216
1337,VID_12993,0
1338,VID_390,0
1339,VID_2574,20
1340,VID_9826,6
1341,VID_20411,16
1342,VID_22008,6
1343,VID_23133,49
1344,VID_18461,4
1345,VID_13349,12
1346,VID_8256,59
1347,VID_10201,18
1348,VID_773,96
1349,VID_11020,39
1350,VID_12745,18
1351,VID_19425,9
1352,VID_12029,1396
1353,VID_1907,54
1354,VID_22849,18
1355,VID_2714,10
1356,VID_19918,16
1357,VID_6134,33
1358,VID_5853,11
1359,VID_10963,10
1360,VID_8466,0
1361,VID_14189,5
1362,VID_13934,15
1363,VID_5932,22
